DATE,YEAR,apple_high,apple_low,ethereum_high,sum(ETHEREUM_LOW),bitcoin_high,bitcoin_low,apple_20day_avg,bitcoin_20day_avg,ethereum_20day_avg
2018-01-01,2018,"","",762.0,717.9400024414062,13921.5,12877.7001953125,"",8959.788845486111,762.0
2018-01-02,2018,43.07500076293945,42.314998626708984,1157.0899658203125,970.4199829101562,10303.0,8789.2001953125,43.07500076293945,8731.27998046875,959.5449829101562
2018-01-03,2018,43.63750076293945,42.9900016784668,879.530029296875,848.4099731445312,11047.7998046875,10248.7001953125,43.35625076293945,8521.32723721591,932.8733317057291
2018-01-04,2018,43.36750030517578,43.02000045776367,399.4599914550781,359.489990234375,7047.7001953125,6460.10009765625,43.36000061035156,8169.4749755859375,799.5199966430664
2018-01-05,2018,43.842498779296875,43.26250076293945,674.3599853515625,630.3300170898438,9245.099609375,8851.0,43.48062515258789,8169.4749755859375,774.4879943847657
2018-01-06,2018,"","",589.5499877929688,565.6900024414062,7610.39990234375,7375.7998046875,43.48062515258789,8169.4749755859375,743.6649932861328
2018-01-07,2018,"","",456.0199890136719,445.05999755859375,6445.10009765625,6284.7001953125,43.48062515258789,8169.4749755859375,702.5728498186384
2018-01-08,2018,43.90250015258789,43.48249816894531,434.42999267578125,407.9599914550781,7753.2001953125,7449.2001953125,43.56500015258789,8169.4749755859375,669.0549926757812
2018-01-09,2018,43.76499938964844,43.352500915527344,301.9200134277344,281.760009765625,7264.2998046875,7020.39990234375,43.59833335876465,8169.4749755859375,628.262217203776
2018-01-10,2018,43.57500076293945,43.25,235.9499969482422,225.3300018310547,6674.7001953125,6072.7001953125,43.59500013078962,8169.4749755859375,589.0309951782226
2018-01-11,2018,43.872501373291016,43.622501373291016,199.7899932861328,197.83999633789062,6421.7998046875,6354.2001953125,43.629687786102295,8169.4749755859375,553.645449551669
2018-01-12,2018,44.34000015258789,43.912498474121094,120.44999694824219,111.62000274658203,4299.10009765625,3967.10009765625,43.70861138237847,8169.4749755859375,517.5458285013834
2018-01-16,2018,44.84749984741211,44.03499984741211,"","","","",43.822500228881836,8169.4749755859375,517.5458285013834
2018-01-17,2018,44.8125,43.76750183105469,"","","","",43.9125002080744,8169.4749755859375,517.5458285013834
2018-01-18,2018,45.025001525878906,44.5625,"","","","",44.00520865122477,8169.4749755859375,517.5458285013834
2018-01-19,2018,44.89500045776367,44.352500915527344,"","","","",44.07365417480469,8169.4749755859375,517.5458285013834
2018-01-22,2018,44.44499969482422,44.150001525878906,"","","","",44.10017885480608,8718.44610126202,517.5458285013834
2018-01-23,2018,44.86000061035156,44.20500183105469,"","","","",44.15083363850911,8752.942836216518,517.5458285013834
2018-01-24,2018,44.32500076293945,43.29999923706055,"","","","",44.16171908378601,8913.87998046875,517.5458285013834
2018-01-25,2018,43.73749923706055,42.63249969482422,"","","","",44.1367649751551,8801.843719482422,517.5458285013834
2018-01-26,2018,43.0,42.51499938964844,"","","","",44.07361136542426,8510.856231689453,495.32272200150925
2018-01-29,2018,42.540000915527344,41.76750183105469,"","","","",44.043889151679146,8347.824981689453,429.14599761962893
2018-01-30,2018,41.842498779296875,41.17499923706055,"","","","",43.944166819254555,8074.837493896484,379.10332743326825
2018-01-31,2018,42.11000061035156,41.625,"","","","",43.874305725097656,8115.6937255859375,376.558744430542
2018-02-01,2018,42.154998779296875,41.689998626708984,890.0,752.4600219726562,15306.099609375,12934.2001953125,43.780555725097656,7996.299987792969,403.5137462615967
2018-02-02,2018,41.70000076293945,40.025001525878906,1036.1700439453125,766.8200073242188,9201.400390625,7915.7998046875,43.67105283235249,7936.006256103516,459.34125328063965
2018-02-03,2018,"","",875.6900024414062,850.469970703125,11167.0,10677.099609375,43.67105283235249,7935.956237792969,511.80000495910645
2018-02-04,2018,"","",393.94000244140625,375.6700134277344,7121.2998046875,6787.60009765625,43.658194647894966,7721.137481689453,506.73875617980957
2018-02-05,2018,40.970001220703125,39.0,690.969970703125,664.2899780273438,9265.7001953125,8991.900390625,43.502916971842446,7751.593326822916,555.3700008392334
2018-02-06,2018,40.93000030517578,38.5,598.780029296875,574.7999877929688,7694.5,7467.89990234375,43.35597250196669,7828.514264787947,600.7237548828125
2018-02-07,2018,40.849998474121094,39.76750183105469,479.94000244140625,442.2900085449219,6680.0,6275.0,43.188055674235024,7936.723069411058,635.7425060272217
2018-02-08,2018,40.25,38.75749969482422,424.510009765625,408.2099914550781,7701.39990234375,7470.60009765625,42.9608334435357,8239.858317057291,673.7500076293945
2018-02-09,2018,39.47249984741211,37.560001373291016,299.3800048828125,289.45001220703125,7334.7998046875,7117.2998046875,42.66222233242459,8239.858317057291,632.1533406575521
2018-02-10,2018,"","",232.97000122070312,223.75,6645.7001953125,6034.89990234375,42.5357354108025,8239.858317057291,592.2350067138672
2018-02-11,2018,"","",203.75,198.1300048828125,6444.2998046875,6390.89990234375,42.38015627861023,8239.858317057291,556.9181879216975
2018-02-12,2018,40.97249984741211,39.377498626708984,120.70999908447266,116.08000183105469,4316.10009765625,4105.2998046875,42.13499999046326,8239.858317057291,520.5675055185953
2018-02-13,2018,41.1875,40.412498474121094,"","","","",41.93140625953674,8239.858317057291,520.5675055185953
2018-02-14,2018,41.8849983215332,40.720001220703125,"","","","",41.745468616485596,8239.858317057291,520.5675055185953
2018-02-15,2018,43.272499084472656,42.25,"","","","",41.67968726158142,8239.858317057291,520.5675055185953
2018-02-16,2018,43.70500183105469,42.942501068115234,"","","","",41.677656173706055,8793.33075420673,520.5675055185953
